#{"t_start": 1702230013.5230885, "env_id": null}
r,l,t
0,7,3083.292229
0,8,3086.775435
0,7,3092.875826
0,7,3099.092277
0,7,3105.175637
1,7,3111.609041
0,7,3117.925646
0,7,3124.175649
0,7,3136.608896
0,7,3142.825865
0,7,3149.058729
0,7,3155.075418
0,8,3158.575094
0,7,3164.491976
0,7,3170.842482
0,7,3177.09273
1,7,3183.241961
0,7,3189.408536
0,7,3195.942641
0,8,3199.64166
0,7,3206.109545
0,7,3212.308394
0,7,3226.259479
0,7,3232.875614
0,7,3239.05883
0,7,3245.509254
0,7,3251.924973
0,7,3258.241601
0,7,3264.408021
0,7,3270.542346
0,7,3276.741543
0,7,3282.908145
0,7,3289.174814
0,7,3295.224725
0,7,3301.50807
0,7,3307.825467
0,7,3320.558769
0,7,3326.50813
0,8,3330.324184
0,7,3336.524531
0,7,3342.941619
0,7,3349.274719
0,7,3355.557911
0,8,3362.143334
0,8,3365.807775
0,7,3372.460311
0,7,3378.558007
0,7,3384.991302
0,7,3391.208807
-1,7,3398.025376
0,7,3415.608203
0,7,3422.224761
0,7,3428.876109
0,7,3434.991223
0,7,3441.308359
0,7,3447.57449
0,7,3453.674439
0,7,3460.259542
0,7,3466.407732
0,7,3472.841327
0,7,3479.158571
0,7,3485.224472
0,7,3491.708114
0,7,3498.159557
0,7,3511.524406
0,7,3517.774191
0,7,3523.824401
0,7,3530.241036
0,7,3536.475157
0,7,3542.874317
0,7,3548.940975
0,7,3555.275348
0,7,3561.574415
0,7,3567.775212
0,7,3573.957497
-1,7,3580.357575
0,7,3586.657727
0,7,3592.91137
0,7,3599.391786
0,7,3612.058336
0,7,3618.174282
0,7,3624.691137
0,7,3630.891017
0,7,3637.357867
0,7,3643.807678
0,7,3650.040964
0,7,3656.341039
0,7,3662.458095
0,7,3668.59105
0,7,3674.908303
0,7,3680.874271
0,7,3687.190781
0,7,3693.274188
0,7,3707.091964
0,7,3713.325002
0,7,3719.792548
0,7,3726.241186
0,7,3732.807759
0,7,3739.074497
0,7,3745.458752
0,7,3751.657726
0,7,3757.774414
0,7,3764.108386
0,8,3767.69082
0,7,3773.87447
0,7,3780.191226
0,7,3786.492445
0,7,3799.441104
0,7,3805.775114
0,7,3812.308126
0,7,3818.60756
1,7,3825.25846
0,7,3831.307576
0,7,3837.641917
0,7,3844.04117
0,7,3850.39181
0,7,3856.424432
0,7,3862.524482
-1,7,3868.991163
0,7,3874.991309
0,7,3881.393187
1,7,3895.974567
0,7,3902.35839
0,7,3908.574399
0,7,3914.724572
0,7,3921.108629
0,7,3927.107911
0,7,3933.041911
0,7,3939.292748
-1,7,3945.724669
1,7,3952.62489
0,7,3959.393976
0,7,3966.286541
0,7,3973.560038
0,7,3980.643156
0,7,3986.918658
0,7,4000.992792
0,7,4007.242043
0,7,4013.342213
0,7,4019.542497
0,7,4025.991502
0,7,4032.558765
0,7,4039.641717
0,7,4046.209319
0,7,4053.35235
0,7,4060.341972
0,7,4067.827297
0,7,4076.409501
0,7,4084.062163
1,7,4091.592601
0,7,4109.07624
0,7,4116.137083
0,7,4123.81049
0,7,4131.242299
0,7,4137.825679
0,7,4144.426335
0,7,4151.160084
-1,7,4158.645026
0,7,4165.611172
0,7,4172.186788
1,7,4179.145575
0,7,4185.809392
0,7,4192.392445
-1,7,4199.226009
0,7,4215.680351
1,7,4222.426253
0,7,4228.915654
0,7,4235.528201
0,7,4242.510174
0,7,4249.127619
0,7,4255.575317
0,7,4261.942063
0,7,4268.175386
0,7,4275.044677
0,7,4281.6422
0,7,4288.292462
0,7,4295.159306
0,7,4301.677292
0,7,4308.476217
0,7,4324.995418
0,7,4332.342492
0,7,4338.77558
0,7,4344.892161
0,7,4351.543503
0,7,4358.51062
0,7,4365.259919
0,7,4371.726002
0,7,4378.327164
0,7,4384.79362
0,7,4391.444329
0,7,4397.944912
0,7,4404.612863
0,7,4411.297646
0,7,4428.196221
0,7,4434.564067
0,7,4441.330627
0,7,4447.782046
0,7,4454.231322
0,7,4461.03157
0,7,4467.632215
0,7,4474.149194
0,7,4481.316504
0,7,4487.734272
0,7,4494.116724
0,7,4500.567697
0,7,4507.084255
0,7,4514.486062
0,7,4535.905071
1,7,4542.752979
0,7,4549.65527
0,7,4556.253362
0,7,4563.038559
0,7,4569.737207
0,7,4576.437867
0,7,4582.991021
0,8,4586.854463
0,7,4593.438318
0,7,4600.189022
0,7,4606.755854
0,7,4613.839436
0,7,4620.390101
0,7,4636.824063
0,7,4643.207187
0,7,4649.809001
0,7,4656.374555
0,7,4663.242844
1,7,4670.210801
0,7,4676.692037
0,7,4683.025973
0,7,4689.542919
0,7,4696.043056
0,7,4702.510223
0,7,4708.977517
0,7,4715.510853
0,7,4722.194293
0,7,4728.711734
0,7,4744.295211
0,7,4750.795373
0,7,4758.096471
0,7,4764.59567
0,7,4771.19625
0,7,4777.812826
0,7,4784.229372
0,7,4790.863069
0,7,4797.229771
0,7,4803.933177
0,7,4810.580426
0,7,4817.049286
0,7,4823.414423
0,7,4830.247663
0,7,4844.231806
0,7,4850.347749
0,7,4856.615625
0,7,4862.66525
0,7,4869.049271
0,7,4875.132041
0,7,4881.383002
0,7,4887.482403
0,7,4893.782465
0,7,4899.982868
0,7,4906.083165
0,7,4912.250056
0,7,4918.850138
0,7,4924.950177
0,7,4938.151139
0,7,4945.722103
0,7,4952.784775
0,7,4959.582986
1,7,4966.53511
0,7,4973.085446
-1,7,4979.652407
0,7,4986.168807
0,7,4992.552556
0,7,4998.769952
0,7,5005.103107
0,7,5011.719883
0,7,5018.2698
1,7,5024.936316
0,7,5038.703667
-1,7,5045.544366
0,7,5051.770568
0,7,5058.1539
0,7,5064.605197
0,7,5070.855326
0,7,5077.205405
0,7,5083.671352
0,7,5089.871434
0,7,5096.271255
0,7,5102.554803
0,7,5108.83841
0,7,5115.391044
0,7,5121.755514
0,7,5128.172326
0,7,5141.172518
0,7,5147.579576
0,7,5153.906236
0,7,5160.30694
0,7,5166.42316
0,7,5172.456585
0,7,5178.639977
0,7,5184.790632
0,7,5190.890357
0,7,5197.273587
0,7,5203.824238
0,7,5210.190615
0,7,5216.490862
0,7,5222.808388
0,7,5235.992721
0,7,5242.324679
1,7,5249.058372
0,7,5255.224861
0,7,5261.374981
0,7,5267.609662
0,7,5274.208777
0,7,5280.375312
0,7,5286.758928
0,7,5292.858981
0,7,5299.109161
0,7,5305.243705
0,7,5311.493645
0,7,5317.676829
0,7,5331.143389
0,7,5337.343173
0,7,5343.527653
-1,7,5349.929546
0,7,5356.427755
0,7,5363.311177
0,7,5371.531721
0,7,5378.04443
1,7,5385.179437
0,7,5392.128705
0,7,5398.527586
0,7,5404.82807
0,7,5410.961727
0,7,5417.228327
0,7,5423.578577
0,7,5438.163534
0,7,5444.613051
0,7,5450.878641
-1,7,5457.462408
0,7,5463.86233
0,7,5470.095814
0,7,5476.463411
0,7,5482.729282
0,7,5489.262702
0,7,5495.496138
1,7,5501.913943
0,7,5508.03039
0,7,5514.313368
0,7,5520.563458
0,7,5533.646582
0,7,5539.930077
0,7,5546.147118
-1,7,5552.547849
-1,7,5559.230851
0,7,5565.513819
0,7,5571.813848
0,7,5578.131708
0,7,5584.247542
0,7,5590.430868
0,7,5596.781054
0,7,5603.081096
0,7,5609.732523
0,7,5616.082105
0,7,5628.681441
0,7,5634.981511
0,7,5641.174662
0,7,5647.61522
0,7,5653.898802
0,7,5660.348591
0,7,5666.399523
0,7,5672.615499
0,7,5678.916312
0,7,5685.19975
0,7,5691.532462
1,7,5698.082508
0,7,5704.482767
0,7,5710.765957
0,7,5724.433082
0,7,5730.833819
-1,7,5737.099906
-1,7,5743.583184
0,7,5750.051135
0,7,5756.333359
0,7,5762.416646
-1,7,5768.700275
0,7,5774.716999
0,7,5781.067189
0,7,5788.069581
0,7,5795.785263
0,7,5802.217878
0,7,5808.984284
0,7,5815.034182
0,7,5827.867773
0,7,5834.184479
0,7,5840.684709
-1,7,5847.234697
0,7,5853.518035
0,7,5859.634758
0,7,5865.951465
0,7,5872.504282
0,7,5878.784978
-1,7,5885.101967
0,8,5891.585271
0,7,5897.801903
0,7,5903.852019
0,7,5910.202362
0,7,5923.286252
0,7,5929.568935
-1,7,5936.119255
0,7,5942.435849
0,8,5946.218973
0,7,5952.552808
0,7,5959.137475
0,7,5965.30287
0,7,5971.720294
0,7,5978.103072
0,7,5984.419687
0,7,5990.672362
0,7,5997.186939
0,8,6000.669714
0,7,6013.486963
0,7,6019.671072
0,8,6025.870265
0,7,6032.338461
1,7,6038.887165
0,7,6045.3734
0,7,6051.638128
0,7,6057.787436
0,8,6061.454034
0,8,6065.27073
0,7,6071.488018
0,7,6077.804764
0,8,6081.371069
0,7,6087.804886
0,8,6098.371048
0,8,6102.204298
0,8,6108.588019
0,7,6114.738373
0,7,6120.855853
0,8,6124.37168
0,7,6130.538513
-1,7,6137.039478
0,7,6143.055241
0,7,6149.372617
0,7,6155.522204
0,8,6159.188486
0,8,6162.871979
0,7,6175.756722
0,7,6181.905864
0,8,6185.638721
0,7,6191.789131
0,8,6195.522214
0,7,6201.622757
0,8,6205.358042
0,7,6213.942835
-1,7,6221.456682
0,8,6225.172879
0,7,6231.574034
0,8,6235.289305
0,7,6241.523286
0,7,6247.723329
0,8,6258.039907
0,8,6261.756475
0,7,6267.923755
0,8,6271.589959
0,7,6277.873833
0,8,6281.508955
0,7,6287.8237
0,8,6291.490193
0,7,6297.707157
0,7,6303.840908
0,7,6310.14094
0,8,6313.84083
-1,7,6320.290892
0,7,6333.090638
0,8,6336.858051
0,7,6342.991252
0,7,6349.357814
0,7,6355.424245
0,7,6361.491291
0,7,6367.558098
0,7,6373.742309
0,8,6377.324306
0,7,6383.341473
0,7,6389.608418
0,8,6393.191895
0,7,6399.291644
0,8,6403.125066
0,7,6417.091949
0,8,6420.841808
0,8,6424.658143
0,8,6428.441503
-1,7,6434.92571
-1,7,6441.475136
0,8,6445.141262
0,8,6448.857625
0,7,6455.142846
-1,7,6461.407795
0,8,6465.190726
0,7,6471.259787
0,8,6475.042557
0,8,6485.523633
0,7,6491.841525
0,8,6495.607286
0,7,6501.990548
-1,7,6508.690887
0,7,6515.057518
0,7,6521.541051
0,8,6525.240188
0,8,6528.856657
0,8,6532.640441
0,8,6536.289762
0,7,6542.573211
0,8,6546.040221
0,7,6558.974069
0,7,6565.423844
0,7,6572.040245
0,7,6578.823294
-1,7,6585.557359
0,7,6592.307948
0,7,6598.924263
0,8,6602.77361
0,7,6609.190074
0,7,6615.789673
-1,7,6622.490028
0,7,6629.226903
0,7,6637.19519
0,7,6645.628634
-1,7,6663.406727
-1,7,6670.156618
0,7,6676.82344
0,7,6683.472371
0,7,6689.922311
0,7,6696.405565
0,7,6702.872706
0,7,6709.472991
-1,7,6716.522875
0,7,6723.055189
0,7,6729.739303
0,8,6736.55506
0,7,6743.038354
-1,7,6749.988739
0,7,6756.60588
1,7,6774.938356
0,7,6781.472038
0,7,6787.97181
0,7,6794.438092
0,7,6800.705078
-1,7,6807.504046
0,7,6814.470988
0,7,6820.637341
0,7,6826.867144
0,7,6832.937247
0,7,6839.688109
0,7,6846.88781
0,7,6853.10476
0,7,6859.287333
-1,7,6874.037433
-1,7,6880.65434
0,8,6887.370627
0,7,6894.049708
0,7,6900.937308
0,8,6904.737164
0,7,6911.187043
1,7,6917.870936
0,7,6924.137142
0,7,6930.553747
-1,7,6936.987037
0,7,6943.436978
0,7,6949.588024
0,7,6956.070323
0,8,6968.169879
0,7,6974.353547
0,7,6980.987734
0,7,6987.87243
0,7,6994.254593
0,7,7000.756081
0,7,7007.287446
0,7,7013.55414
0,7,7020.121108
0,7,7026.671022
0,7,7033.136978
0,7,7039.620916
0,7,7045.820454
0,7,7053.256128
0,7,7075.504031
0,7,7082.087225
0,7,7088.604704
0,7,7095.170849
0,7,7101.60337
0,7,7107.703411
0,7,7114.070047
0,7,7120.054031
0,7,7126.370005
0,8,7129.986379
0,7,7136.253385
0,7,7142.57019
0,7,7148.7213
0,7,7155.179693
-1,7,7168.304625
0,7,7174.955105
0,7,7181.654712
0,8,7185.537604
0,7,7191.986842
0,7,7198.303179
0,7,7204.520176
0,7,7210.87086
0,7,7217.203608
0,7,7223.703825
0,7,7230.204199
0,7,7236.537687
0,7,7242.88846
0,7,7249.787446
0,7,7265.288066
0,8,7269.037803
0,7,7275.454107
0,7,7281.854131
0,7,7288.220839
0,7,7294.62145
0,7,7301.138816
0,7,7307.45443
0,7,7313.786887
0,7,7320.270404
0,7,7326.404389
0,7,7332.554734
0,7,7338.836918
0,8,7342.670225
0,7,7359.287716
0,7,7367.393613
0,8,7371.613974
0,8,7375.468437
0,8,7379.69138
0,8,7383.456308
0,7,7389.987815
0,7,7396.487919
0,7,7402.804587
0,8,7406.604779
0,7,7413.188725
0,7,7419.737988
0,7,7426.221682
0,7,7432.670849
0,8,7445.070664
0,7,7451.705132
0,7,7458.154898
0,7,7464.537888
0,7,7470.937874
0,7,7478.3566
0,7,7487.247103
0,7,7494.270822
0,7,7500.922297
0,7,7507.354361
0,7,7514.52217
0,7,7521.138664
0,7,7527.588149
0,7,7534.004729
0,8,7548.07161
1,7,7555.238479
0,7,7561.88847
0,7,7568.371621
0,7,7574.887995
0,7,7581.671172
0,7,7588.188652
0,7,7594.638404
1,7,7601.541917
1,7,7608.972548
0,7,7615.390463
0,7,7621.804737
0,8,7625.637731
0,7,7632.171776
0,7,7647.621526
1,7,7654.155691
1,7,7661.589683
0,7,7668.039212
0,7,7675.161574
0,7,7681.872717
0,7,7688.288382
0,7,7694.76767
1,7,7701.438892
0,7,7708.071841
0,7,7714.572603
0,7,7721.022048
0,8,7728.05546
0,7,7734.572114
0,8,7747.088697
0,7,7753.472104
0,7,7760.322406
0,7,7766.889465
0,7,7773.639107
0,7,7780.255879
0,7,7786.839365
1,7,7793.622426
0,7,7799.972382
0,7,7806.689775
0,7,7813.055697
0,7,7819.589467
0,7,7826.021936
0,7,7832.021836
0,8,7844.906024
0,7,7851.355754
0,7,7857.471989
0,8,7861.28819
0,7,7867.255358
0,7,7873.489402
1,7,7879.806499
0,7,7886.005394
0,7,7892.205407
0,7,7898.641031
0,7,7905.557315
0,8,7909.722211
0,7,7915.973292
0,7,7922.605612
0,7,7935.839669
0,8,7939.388687
0,7,7945.355656
0,7,7951.423067
0,7,7957.355735
0,7,7963.572908
0,7,7969.822588
0,8,7973.672162
0,7,7980.05607
-1,7,7986.30669
0,7,7992.389206
0,7,7998.639264
0,7,8004.989312
0,7,8011.322603
0,7,8024.741271
0,7,8030.939518
0,7,8037.006355
0,7,8043.389534
1,7,8050.073094
0,8,8056.322927
0,7,8062.356294
-1,7,8068.839638
0,7,8075.190446
0,7,8081.439813
0,7,8087.940485
0,7,8094.289804
0,7,8100.589786
0,7,8107.056369
0,7,8120.273053
0,7,8126.406643
0,7,8132.64002
0,7,8138.956897
0,7,8145.206699
0,7,8151.35751
1,7,8158.190111
0,7,8164.473368
0,7,8171.040289
0,7,8177.624329
0,7,8183.958156
0,7,8190.406984
0,7,8196.640565
0,7,8203.058409
0,7,8209.642215
0,7,8226.925737
0,7,8233.374387
0,7,8239.841516
0,7,8246.475489
0,7,8253.024977
0,8,8256.774372
0,7,8263.208301
1,7,8270.04171
0,7,8276.625069
0,7,8283.091681
0,7,8289.675349
0,8,8293.407595
0,7,8299.724852
0,8,8312.725874
0,7,8319.191745
0,7,8326.560438
0,8,8330.965638
0,7,8338.809333
0,7,8345.993196
0,7,8352.608518
0,7,8359.208972
0,7,8365.825043
0,7,8372.326066
0,7,8378.791983
0,7,8385.092796
0,8,8391.758838
0,7,8398.29218
0,7,8414.193036
0,7,8420.559609
0,7,8427.059668
0,7,8433.54258
0,7,8439.992336
0,7,8446.375694
0,7,8452.859434
0,7,8459.359342
0,7,8465.925884
0,7,8472.409371
0,7,8478.876444
0,7,8485.293568
0,7,8491.827269
0,7,8498.494169
0,7,8505.061162
0,7,8521.128395
0,7,8527.595376
0,7,8534.196189
0,7,8540.746759
0,7,8547.16381
0,7,8553.696777
