#{"t_start": 1702393806.5680215, "env_id": null}
r,l,t
0,7,5086.644324
0,7,5093.227152
0,7,5099.761939
0,7,5106.493892
0,7,5112.927361
0,7,5119.561528
0,8,5123.544599
0,7,5130.210846
0,8,5134.160496
1,7,5140.927462
0,7,5147.494946
0,7,5154.42863
1,7,5161.379185
0,7,5168.127795
1,7,5174.978728
0,7,5181.461245
1,7,5188.34456
0,7,5194.796282
0,7,5201.34464
1,7,5208.079083
0,7,5214.646629
0,7,5221.362289
0,7,5227.895988
0,7,5234.57832
0,7,5241.145214
0,8,5244.928725
0,7,5251.494558
0,7,5258.094379
0,7,5264.677322
0,7,5271.126976
1,7,5277.876985
0,7,5284.526829
0,7,5291.395066
0,7,5297.826047
0,7,5304.275764
0,7,5310.575517
0,7,5317.175626
0,7,5323.592839
1,7,5330.292369
0,7,5336.891264
-1,7,5343.525318
-1,8,5350.740956
0,7,5357.658503
0,7,5364.241531
0,7,5370.757136
0,7,5377.341012
0,7,5383.923244
0,7,5390.72289
0,7,5397.45621
1,7,5404.472793
0,7,5411.357377
0,7,5418.139174
0,7,5424.77247
0,7,5431.308677
0,7,5437.821839
0,7,5444.406501
0,8,5448.27139
0,8,5452.154491
0,7,5458.654832
0,7,5465.221394
0,7,5472.070886
1,7,5478.938086
0,7,5485.788235
1,7,5492.554031
0,7,5498.970435
0,7,5505.653738
0,7,5512.270512
0,7,5518.970108
1,7,5525.820143
0,8,5529.704366
0,7,5536.419607
1,7,5543.321409
0,7,5549.985912
1,7,5556.736215
0,7,5563.336834
1,7,5570.20214
1,7,5577.053464
0,7,5583.519737
0,7,5590.096297
0,7,5596.619396
0,7,5603.167963
0,7,5609.801084
1,7,5616.934617
0,7,5624.238335
0,7,5633.277716
0,7,5641.637097
0,7,5649.453616
0,7,5656.603881
0,8,5660.583067
0,7,5667.150527
0,7,5673.599656
0,7,5679.93353
1,7,5686.565965
0,7,5692.815928
0,7,5699.166728
0,7,5705.49921
0,7,5711.78289
1,7,5718.365721
0,7,5725.032056
0,7,5731.384261
0,7,5737.715234
1,7,5744.365653
0,7,5751.082286
1,7,5759.546114
1,7,5768.853339
0,7,5776.28485
0,7,5784.692197
0,7,5793.790007
0,7,5802.226717
0,7,5810.561233
1,7,5818.304228
0,7,5826.520133
0,7,5834.16566
